cd_cidade;cidade;nome;favorabilidade;importancia;classificacaoAtor;tipoDocumento;tipoAtor;apelido
1303205;Novo Airão;Câmara Municipal de Novo Airão;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Novo Airão
1303304;Novo Aripuanã;Câmara Municipal de Novo Aripuanã;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Novo Aripuanã
1303403;Parintins;Câmara Municipal de Parintins;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Parintins
1303502;Pauini;Câmara Municipal de Pauini;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Pauini
1303536;Presidente Figueiredo;Câmara Municipal de Presidente Figueiredo;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Presidente Figueiredo
1303569;Rio Preto da Eva;Câmara Municipal de Rio Preto da Eva;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Rio Preto da Eva
1303601;Santa Isabel do Rio Negro;Câmara Municipal de Santa Isabel do Rio Negro;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Santa Isabel do Rio Negro
1303700;Santo Antônio do Içá;Câmara Municipal de Santo Antônio do Içá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Santo Antônio do Içá
1303809;São Gabriel da Cachoeira;Câmara Municipal de São Gabriel da Cachoeira;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de São Gabriel da Cachoeira
1303908;São Paulo de Olivença;Câmara Municipal de São Paulo de Olivença;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de São Paulo de Olivença
1303957;São Sebastião do Uatumã;Câmara Municipal de São Sebastião do Uatumã;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de São Sebastião do Uatumã
1304005;Silves;Câmara Municipal de Silves;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Silves
1304062;Tabatinga;Câmara Municipal de Tabatinga;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Tabatinga
1304104;Tapauá;Câmara Municipal de Tapauá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Tapauá
1304203;Tefé;Câmara Municipal de Tefé;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Tefé
1304237;Tonantins;Câmara Municipal de Tonantins;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Tonantins
1304260;Uarini;Câmara Municipal de Uarini;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Uarini
1304302;Urucará;Câmara Municipal de Urucará;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Urucará
1304401;Urucurituba;Câmara Municipal de Urucurituba;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Urucurituba
1400050;Alto Alegre;Câmara Municipal de Alto Alegre;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Alto Alegre
1400027;Amajari;Câmara Municipal de Amajari;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Amajari
1400100;Boa Vista;Câmara Municipal de Boa Vista;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Boa Vista
1400159;Bonfim;Câmara Municipal de Bonfim;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Bonfim
1400175;Cantá;Câmara Municipal de Cantá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Cantá
1400209;Caracaraí;Câmara Municipal de Caracaraí;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Caracaraí
1400233;Caroebe;Câmara Municipal de Caroebe;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Caroebe
1400282;Iracema;Câmara Municipal de Iracema;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Iracema
1400308;Mucajaí;Câmara Municipal de Mucajaí;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Mucajaí
1400407;Normandia;Câmara Municipal de Normandia;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Normandia
1400456;Pacaraima;Câmara Municipal de Pacaraima;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Pacaraima
1400472;Rorainópolis;Câmara Municipal de Rorainópolis;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Rorainópolis
1400506;São João da Baliza;Câmara Municipal de São João da Baliza;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de São João da Baliza
1400605;São Luiz;Câmara Municipal de São Luiz;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de São Luiz
1400704;Uiramutã;Câmara Municipal de Uiramutã;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Uiramutã
1500107;Abaetetuba;Câmara Municipal de Abaetetuba;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Abaetetuba
1500131;Abel Figueiredo;Câmara Municipal de Abel Figueiredo;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Abel Figueiredo
1500206;Acará;Câmara Municipal de Acará;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Acará
1500305;Afuá;Câmara Municipal de Afuá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Afuá
1500347;Água Azul do Norte;Câmara Municipal de Água Azul do Norte;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Água Azul do Norte
1500404;Alenquer;Câmara Municipal de Alenquer;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Alenquer
1500503;Almeirim;Câmara Municipal de Almeirim;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Almeirim
1500602;Altamira;Câmara Municipal de Altamira;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Altamira
1500701;Anajás;Câmara Municipal de Anajás;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Anajás
1500800;Ananindeua;Câmara Municipal de Ananindeua;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Ananindeua
1500859;Anapu;Câmara Municipal de Anapu;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Anapu
1500909;Augusto Corrêa;Câmara Municipal de Augusto Corrêa;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Augusto Corrêa
1500958;Aurora do Pará;Câmara Municipal de Aurora do Pará;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Aurora do Pará
1501006;Aveiro;Câmara Municipal de Aveiro;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Aveiro
1501105;Bagre;Câmara Municipal de Bagre;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Bagre
1501204;Baião;Câmara Municipal de Baião;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Baião
