cd_cidade;cidade;nome;favorabilidade;importancia;classificacaoAtor;tipoDocumento;tipoAtor;apelido
1500909;Augusto Corrêa;Prefeitura de Augusto Corrêa;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Augusto Corrêa
1500958;Aurora do Pará;Prefeitura de Aurora do Pará;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Aurora do Pará
1501006;Aveiro;Prefeitura de Aveiro;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Aveiro
1501105;Bagre;Prefeitura de Bagre;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Bagre
1501204;Baião;Prefeitura de Baião;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Baião
1501253;Bannach;Prefeitura de Bannach;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Bannach
1501303;Barcarena;Prefeitura de Barcarena;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Barcarena
1501402;Belém;Prefeitura de Belém;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Belém
1501451;Belterra;Prefeitura de Belterra;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Belterra
1501501;Benevides;Prefeitura de Benevides;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Benevides
1501576;Bom Jesus do Tocantins;Prefeitura de Bom Jesus do Tocantins;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Bom Jesus do Tocantins
